Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.449800,-30.298500,270.000000,top
"C2","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",30.734000,-22.352000,0.000000,top
"C3",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.004000,-44.196000,0.000000,top
"C4",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",32.004000,-46.228000,0.000000,top
"C5",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.148000,-44.450000,0.000000,top
"C6","1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",41.910000,-22.352000,180.000000,top
"C7",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",37.846000,-22.352000,180.000000,top
"C8",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",50.791000,-43.434000,180.000000,top
"C9","1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.070000,-34.036000,0.000000,top
"C10",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",51.562000,-24.892000,270.000000,top
"C11",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",52.070000,-31.750000,180.000000,top
"C12",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",58.928000,-50.809000,270.000000,top
"C13",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",47.752000,-60.960000,90.000000,top
"C14",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",48.768000,-57.150000,180.000000,top
"C15",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",72.907000,-54.610000,0.000000,top
"C16",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.580000,-54.864000,0.000000,top
"C17",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",22.618700,-22.771100,0.000000,top
"C19","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",64.693800,-27.203400,270.000000,top
"C20","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",55.219600,-27.355800,180.000000,top
"C21","C_Small","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",59.334400,-26.962100,180.000000,top
"C23",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.380200,-36.982400,180.000000,top
"C24",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",19.532600,-32.127300,90.000000,top
"C26",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",23.977600,-20.307300,0.000000,top
"C27",".1uf","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.340100,-24.460200,0.000000,top
